# uv_i_x uv_i_y  uv_j_x uv_j_y
0.543235 0.819561  0.103712 0.452003
0.920443 0.887771  0.693719 0.377007
0.716691 0.938992  0.677558 0.855503
0.709783 0.949531  0.667302 0.852106
0.717296 0.915296  0.694285 0.873655
0.894594 0.863874  0.728190 0.854272
0.882293 0.874079  0.729941 0.868192
0.867740 0.881349  0.733495 0.383224
0.325397 0.716557  0.759853 0.102945
0.332336 0.708016  0.732801 0.102929
0.340088 0.698591  0.719441 0.084686
0.341972 0.674920  0.719056 0.072746
0.347774 0.667045  0.693184 0.069778
0.353208 0.660535  0.693184 0.069778
0.872886 0.920966  0.729522 0.369435
0.865726 0.908539  0.878592 0.935105
0.529202 0.818018  0.244208 0.916031
0.709436 0.926525  0.680506 0.870367
0.723838 0.903561  0.708485 0.876550
0.854427 0.884882  0.878592 0.935105
0.918155 0.872402  0.703227 0.370858
0.335085 0.684347  0.732247 0.079165
0.702098 0.937453  0.712386 0.838315
0.708196 0.902078  0.700347 0.888155
0.701301 0.913555  0.703941 0.862261
0.730053 0.891613  0.718422 0.865349
0.893781 0.877022  0.741484 0.869808
0.880667 0.886217  0.735594 0.397205
0.866422 0.894136  0.729522 0.369435
0.320949 0.701915  0.745848 0.085053
0.327880 0.693387  0.732247 0.079165
0.328718 0.672540  0.718877 0.060109
0.333892 0.665177  0.706154 0.064817
0.822786 0.423896  0.706315 0.077986
0.345335 0.650743  0.693358 0.083733
0.354553 0.642555  0.680311 0.089758
0.361885 0.625669  0.693454 0.110359
0.725470 0.355407  0.745746 0.374816
0.694580 0.924434  0.700928 0.848224
0.323194 0.679318  0.731532 0.067776
0.351133 0.632430  0.706469 0.090692
0.372078 0.617431  0.693475 0.124173
0.709288 0.349730  0.733495 0.383224
0.688215 0.935257  0.699911 0.833266
0.692912 0.899924  0.694285 0.873655
0.686823 0.911065  0.690099 0.858952
0.877371 0.896379  0.735594 0.397205
0.731566 0.041971  0.718877 0.060109
0.731222 0.028873  0.706154 0.064817
0.329756 0.645228  0.719056 0.072746
0.338665 0.637089  0.706469 0.090692
0.975233 0.542709  0.706466 0.103518
0.975391 0.557065  0.706469 0.090692
0.697486 0.357419  0.722071 0.391575
0.679566 0.896655  0.680506 0.870367
0.674033 0.907540  0.677558 0.855503
0.383629 0.585880  0.893993 0.415999
0.392516 0.573705  0.897765 0.406955
0.314710 0.644055  0.706154 0.064817
0.975870 0.570934  0.706469 0.090692
0.703227 0.370858  0.708364 0.385681
0.401955 0.558884  0.905038 0.396091
0.977075 0.583677  0.706315 0.077986
0.667983 0.892903  0.670203 0.866885
0.661180 0.904057  0.667302 0.852106
0.966978 0.489628  0.917683 0.335697
0.970242 0.475816  0.893993 0.415999
0.391352 0.561480  0.905038 0.396091
0.707473 0.050370  0.708314 0.023184
0.708480 0.009423  0.694358 0.055248
0.693719 0.377007  0.089675 0.418877
0.383966 0.568215  0.897765 0.406955
0.394271 0.548958  0.898989 0.381906
0.965281 0.588814  0.693184 0.069778
0.244208 0.916031  0.255358 0.916487
0.655834 0.889329  0.659225 0.863180
0.651100 0.900396  0.657691 0.848539
0.957861 0.476169  0.917683 0.335697
0.929792 0.407825  0.905898 0.356865
0.883802 0.421350  0.898989 0.381906
0.695539 0.041222  0.697230 0.027526
0.698237 0.014033  0.681941 0.046038
0.953803 0.490492  0.917683 0.335697
0.920787 0.397258  0.882760 0.362230
0.386759 0.539203  0.898989 0.381906
0.646298 0.885635  0.649109 0.859524
0.922322 0.419602  0.893404 0.350832
0.946781 0.475189  0.893778 0.336201
0.913032 0.409151  0.895111 0.366706
0.379404 0.540468  0.898989 0.381906
0.407965 0.464220  0.037568 0.286007
0.681941 0.046038  0.687247 0.018401
0.925427 0.508102  0.357748 0.848763
0.925565 0.494101  0.360477 0.834092
0.923581 0.556989  0.363085 0.875151
0.388766 0.523592  0.895111 0.366706
0.905038 0.396091  0.898989 0.381906
0.373448 0.527865  0.895111 0.366706
0.929646 0.478748  0.271233 0.896102
0.638882 0.881981  0.228136 0.956877
0.633038 0.893384  0.035604 0.315416
0.938233 0.459421  0.882077 0.345966
0.905702 0.420017  0.882760 0.362230
0.897765 0.406955  0.886307 0.377913
0.918342 0.363212  0.895111 0.366706
0.395159 0.456937  0.027309 0.275361
0.669311 0.036177  0.674341 0.022883
0.912807 0.499056  0.369969 0.845175
0.913117 0.485018  0.374027 0.830439
0.911455 0.566706  0.743373 0.426742
0.912979 0.581152  0.356562 0.903034
0.377550 0.513224  0.366742 0.489914
0.916659 0.349419  0.906304 0.328473
0.382571 0.458423  0.018465 0.264644
0.915144 0.593999  0.084760 0.084426
0.911624 0.541190  0.334332 0.894979
0.915039 0.471176  0.378237 0.816063
0.629650 0.878710  0.025397 0.305035
0.395484 0.448109  0.018229 0.279242
0.652714 0.057851  0.633479 0.019999
0.920456 0.458813  0.378237 0.816063
0.366532 0.517865  0.366422 0.504022
0.925400 0.446889  0.382588 0.802364
0.893993 0.415999  0.875350 0.373664
0.887793 0.402243  0.883268 0.387649
0.905898 0.356865  0.882760 0.362230
0.924616 0.340563  0.925782 0.326645
0.382562 0.449970  0.018465 0.264644
0.919217 0.607418  0.099445 0.083601
0.898712 0.535143  0.346926 0.892991
0.899550 0.520217  0.379231 0.856625
0.900595 0.490245  0.366583 0.860174
0.898567 0.548342  0.337872 0.905364
0.901627 0.475510  0.389007 0.827347
0.899847 0.576397  0.366872 0.900810
0.902253 0.591173  0.351522 0.916713
0.905252 0.606035  0.090929 0.072009
0.904327 0.460741  0.389007 0.827347
0.910248 0.448548  0.393623 0.813674
0.354274 0.510496  0.925782 0.326645
0.917451 0.439640  0.873258 0.383725
0.654975 0.014162  0.937595 0.894535
0.938026 0.240798  0.930511 0.229008
0.943004 0.633538  0.927227 0.166688
