# uv_i_x uv_i_y  uv_j_x uv_j_y
0.412804 0.175975  0.476937 0.131676
0.398262 0.170141  0.476763 0.118237
0.577296 0.573482  0.112482 0.429096
0.346308 0.189975  0.503008 0.071238
0.356560 0.180818  0.489028 0.077928
0.368517 0.171732  0.474873 0.087468
0.791523 0.250534  0.124792 0.524081
0.153672 0.530448  0.774154 0.215663
0.471343 0.724168  0.205709 0.921615
0.488776 0.712916  0.633348 0.187683
0.521390 0.671352  0.594629 0.221292
0.722380 0.422568  0.115140 0.314860
0.532661 0.648467  0.115140 0.314860
0.530666 0.634842  0.112462 0.329549
0.507092 0.694362  0.598109 0.192987
0.527376 0.622377  0.112462 0.329549
0.523115 0.609584  0.122554 0.350114
0.457742 0.726498  0.660084 0.178012
0.382963 0.163604  0.461589 0.094705
0.292475 0.814548  0.512165 0.045558
0.299669 0.798718  0.107527 0.466588
0.602845 0.568703  0.103712 0.452003
0.587850 0.565074  0.100042 0.439035
0.330599 0.184824  0.498379 0.045577
0.551886 0.574363  0.126551 0.419041
0.539746 0.582439  0.723764 0.795413
0.563497 0.567226  0.112482 0.429096
0.528976 0.590216  0.715961 0.786584
0.853517 0.211640  0.828704 0.210948
0.111864 0.522101  0.822267 0.227780
0.124792 0.524081  0.809567 0.232380
0.138981 0.526816  0.795621 0.236535
0.809567 0.232380  0.853175 0.197627
0.795621 0.236535  0.122005 0.514446
0.176433 0.530039  0.753732 0.179368
0.189510 0.536810  0.728976 0.174848
0.202807 0.543951  0.728976 0.174848
0.215706 0.551577  0.692953 0.183217
0.163395 0.523776  0.765451 0.190974
0.226913 0.560240  0.681476 0.176456
0.893312 0.912850  0.196738 0.910891
0.491540 0.700286  0.611367 0.187221
0.508011 0.679606  0.618688 0.207252
0.517559 0.596473  0.715961 0.786584
0.237719 0.569223  0.670071 0.169760
0.453980 0.178081  0.466932 0.169281
0.440167 0.172308  0.465793 0.154597
0.426343 0.166844  0.465491 0.140855
0.411933 0.161278  0.464674 0.126760
0.397289 0.155401  0.448862 0.102337
0.573126 0.560101  0.255358 0.916487
0.345509 0.175766  0.492745 0.059591
0.356450 0.166498  0.476104 0.074557
0.368501 0.157169  0.462088 0.079418
0.781115 0.239878  0.134968 0.515726
0.149127 0.519164  0.791254 0.196666
0.886199 0.907824  0.196738 0.910891
0.476115 0.703251  0.623506 0.180818
0.509051 0.663879  0.611367 0.187221
0.521688 0.655541  0.115140 0.314860
0.520863 0.640222  0.115140 0.314860
0.517848 0.627620  0.112462 0.329549
0.493358 0.686774  0.632398 0.200903
0.513362 0.615762  0.124872 0.337393
0.508151 0.603089  0.122554 0.350114
0.450834 0.718260  0.658639 0.162968
0.383026 0.149412  0.461589 0.094705
0.623618 0.549521  0.094007 0.461069
0.612638 0.556440  0.094007 0.461069
0.597945 0.553985  0.090042 0.445578
0.583632 0.549741  0.244208 0.916031
0.332659 0.168702  0.483891 0.047585
0.536910 0.566942  0.716609 0.808145
0.549256 0.561486  0.101447 0.414566
0.527345 0.575892  0.709754 0.797404
0.558579 0.555028  0.089675 0.418877
0.520241 0.583008  0.709754 0.797404
0.853175 0.197627  0.828704 0.210948
0.187026 0.522142  0.742146 0.166581
0.173087 0.516373  0.767337 0.176880
0.199290 0.530277  0.742146 0.166581
0.212946 0.537183  0.704803 0.175030
0.225520 0.545369  0.692728 0.168250
0.158712 0.512206  0.779462 0.186618
0.431588 0.737568  0.680997 0.161567
0.891049 0.896379  0.649171 0.171196
0.478532 0.690435  0.205709 0.921615
0.494839 0.671428  0.621139 0.193993
0.488855 0.916796  0.109059 0.354359
0.437853 0.724407  0.668998 0.154888
0.439494 0.157769  0.452549 0.149105
0.425230 0.152986  0.451681 0.135143
0.410897 0.148753  0.450859 0.120419
0.396927 0.142670  0.448862 0.102337
0.568469 0.545857  0.089675 0.418877
0.348038 0.161980  0.478671 0.061991
0.355380 0.150543  0.464378 0.065059
0.369778 0.144120  0.448298 0.085009
0.144416 0.509357  0.793704 0.181536
0.463431 0.691617  0.259058 0.284227
0.509005 0.647810  0.141948 0.315319
0.495863 0.656011  0.611367 0.187221
0.507385 0.633647  0.225236 0.349109
0.504446 0.621224  0.112462 0.329549
0.480660 0.676744  0.633348 0.187683
0.499188 0.609203  0.112462 0.329549
0.479057 0.928479  0.110505 0.342729
0.443441 0.710595  0.657309 0.148059
0.383734 0.135736  0.490530 0.137089
0.606354 0.543115  0.090042 0.445578
0.594433 0.535056  0.244208 0.916031
0.579031 0.533980  0.532408 0.142812
0.321814 0.156119  0.475304 0.035679
0.338331 0.154843  0.468646 0.050210
0.543200 0.552479  0.114528 0.410105
0.500502 0.879637  0.096451 0.370330
0.492002 0.892450  0.096451 0.370330
0.551833 0.542274  0.232071 0.916784
0.483296 0.904888  0.096480 0.357980
0.842621 0.189658  0.830873 0.195555
0.862522 0.170991  0.805179 0.191694
0.802467 0.207082  0.852792 0.171781
0.182180 0.509775  0.770381 0.149687
0.395920 0.774437  0.729095 0.158510
0.167966 0.504802  0.783144 0.157628
0.208644 0.524348  0.716505 0.151256
0.410308 0.753596  0.704884 0.145003
0.417071 0.741175  0.693755 0.139070
0.153432 0.501351  0.795597 0.166453
0.423485 0.728372  0.681237 0.132251
0.466189 0.680333  0.633348 0.187683
0.448418 0.697246  0.636897 0.164606
0.482071 0.662665  0.623506 0.180818
0.474633 0.917281  0.310251 0.674605
0.429320 0.715366  0.668741 0.140079
0.423881 0.141538  0.437755 0.130023
0.409878 0.136535  0.465491 0.140855
0.397269 0.128696  0.476937 0.131676
0.562385 0.531463  0.232071 0.916784
0.356595 0.136389  0.517819 0.135801
0.371926 0.127707  0.503238 0.128832
0.854669 0.159536  0.807383 0.176272
0.452288 0.684323  0.196738 0.910891
0.495520 0.641453  0.154844 0.308624
0.482526 0.649130  0.614734 0.173420
0.493603 0.628386  0.210705 0.352264
0.490978 0.616374  0.210705 0.352264
0.469011 0.666765  0.623506 0.180818
0.471462 0.941882  0.196954 0.370581
0.466323 0.930123  0.124872 0.337393
0.434057 0.702107  0.646154 0.141233
0.386102 0.119967  0.300145 0.785149
0.587364 0.520467  0.532408 0.142812
0.574027 0.519506  0.531004 0.127749
0.331345 0.144660  0.548041 0.149508
0.343893 0.141430  0.532408 0.142812
0.494509 0.867388  0.700651 0.816944
0.485830 0.880040  0.700651 0.816944
0.476620 0.892170  0.084836 0.363110
0.488369 0.856174  0.241712 0.903203
0.469807 0.905810  0.084562 0.350659
0.842742 0.175395  0.820320 0.170954
0.852792 0.171781  0.818794 0.186249
0.791254 0.196666  0.843828 0.161678
0.380395 0.775202  0.742994 0.150444
0.387661 0.765151  0.729909 0.143140
0.848534 0.135822  0.797139 0.151789
0.394989 0.755565  0.717622 0.136501
